Strain,Lipase,Protease,β-N-acetylglucosaminidase ,Endochitinase,Chitobiosidase 
M03D5C16,233943,9.5,1728,688,1496
M03D5C18,236418,308,4909,4958,1490
M03D5C19,209166,8.5,1557,675,1517
M03D5C31,277593,78,20655,998,1894
M03D5C39,201773,7,1242,587,218
M03D5C41,233156,204,25667,1214,1999
M03D5GC02,1791462,1026,11684,433218,667796
M03D5GC03,2437523,84,1801,693,1549
M03D5GC15,2208032,96.5,1298,640,1407
M03D5GC21,242539,11.5,1754,704,1509
M03D6GC30,236563,10.5,1783,655,1490
M05D5C13,207166,12,1506,683,1521
M05D5C18,217270,10,1821,653,1540
M05D5C20,253644,10.5,1758,698,1592
M05D5C33,217472,12,1729,656,1418
M05D5GC01,243225,11,1781,702,1857
M05D5GC11,230109,866.5,3618,73161,9680
M05D6GC09,203906,12,4951,682,1522
M07D5C10,218524,11.5,1907,699,1522
M07D5C14,284018,233.5,2482,35005,88358
M07D5C24,214270,107,1801,22689,106915
M07D5C33,234684,109.5,1771,19968,92459
M07D5GC01,258165,103,6167,33903,86712
M07D5GC11,222517,11,1612,753,1276
M07D5GC13,210441,12.5,1532,375,1762
M07D5GC17,212909,13.5,1508,693,1588
M07D5XY1,234636,10,9467,669,1509
M07D5XY2,241445,264,3979,23964,47497
M07D6C08,216268,11,1670,982,1427
M07D6C16,230123,11,3036,649,1478
M07D6GC08,212713,16,4846,685,1545
M09D5C22,243708,68,1846,1078,7460
M09D5C26,211427,7,1502,695,1537
M09D5C28,1300357,371.5,9704,2120,8639
M09D5GC06,208568,9.5,1353,671,1509
M09D5GC07,208019,8,1468,665,1490
M09D5GC09,2750008,907.5,56368,712360,33774
M09D5GC10,2257780,1106.5,439394,422066,817113
M09D5GC11,249211,10.5,1801,680,1534
M09D5GC15,234242,658,2002,326441,76103
M09D5GC17,2403669,378.5,2449,123786,4163
M09D5GC18,2149086,518,125137,201609,9077
M09D6GC01,249344,10,1777,734,1540
M10D5C01,267312,12,3896,706,1517
M10D5C16,208517,13,1432,689,1448
M10D5C22,221492,11,1335,999,1487
M10D5GC01,265943,11,1892,704,1563
M10D5GC03,217555,14,1586,694,1379
M10D5GC05,215506,7.5,1543,686,1565
M10D5GC09,198906,12.5,2609,4489,1265
M10D5GC10,209006,12,1445,675,1429
M10D5GC11,210436,8,1436,663,1487
M10D5GC15,216139,12,1631,563,1404
M10D5GC19,251135,10,1759,679,1528
M10D6C03,241522,317,1391,208,208
M10D6C16,247944,11,1889,657,1521
M10D6GC05,315542,366.5,2212,818,1565